respondent Number,chocolate bought,1. buying frequency,5a) značka,5b) chuť,5c) země,5d) cena,5e) odpovědnost,5f) jiné,4. how much pay more,5. FT price,I. gender,II. Income,III. Country,region
329,A Fairtrade,b - once a week,2,1,4,3,5,0,c) 11-30 %,60,b) female,a) no,CZ,W
330,B normal,c - once in 2 weeks,2,1,4,3,5,0,b) 1-10 %,45,a) male,b) < 5 000 CZK,CZ,W
332,A Fairtrade,d - once in a month,5,1,3,2,4,0,f) 81 - 100 %,110,b) female,d) 10000-15000 CZK,CZ,W
333,B normal,0,0,1,0,0,0,0,c) 11-30 %,50,a) male,a) no,China,jiné
334,A Fairtrade,d - once in a month,3,1,4,2,6,0,c) 11-30 %,35,b) female,b) < 5 000 CZK,CZ,W
335,B normal,e - less frequently,3,1,4,2,5,0,b) 1-10 %,50,b) female,a) no,CZ,W
336,B normal,d - once in a month,1,2,4,3,5,0,c) 11-30 %,55,a) male,f) >20000,Ukraine,E
337,A Fairtrade,c - once in 2 weeks,2,1,4,3,5,0,c) 11-30 %,70,b) female,a) no,Singapore,jiné
338,A Fairtrade,b - once a week,4,1,3,5,2,0,d) 31 - 50 %,100,a) male,f) >20000,Singapore,jiné
339,A Fairtrade,b - once a week,1,1,0,0,0,0,c) 11-30 %,70,b) female,,Russia,E
